Fitness,ExampleReversalStrategy.ExitStrategy.StopLoss,ExampleReversalStrategy.ExitStrategy.TargetProfit
20.0585616616931,0.41,64.01
20.0585616616931,0.61,0.01
-2.55773549420249,0.01,56.01
21.8801642943877,0.91,96.01
21.8801642943877,0.81,32.01
20.0585616616931,0.51,88.01
-2.55773549420249,0.01,40.01
6.43755364591327,0.21,72.01
6.43755364591327,0.21,80.01
20.0585616616931,0.41,12.01
21.8801642943877,0.81,16.01
-2.55773549420249,0.01,44.01
15.7144654990518,0.31,36.01
6.43755364591327,0.21,4.01
36.3972619198346,0.11,48.01
21.8801642943877,0.71,68.01
36.3972619198346,0.11,84.01
15.7144654990518,0.31,52.01
36.3972619198346,0.11,8.01
20.0585616616931,0.61,76.01
20.0585616616931,0.51,24.01
21.8801642943877,0.91,20.01
15.7144654990518,0.31,92.01
21.8801642943877,0.71,28.01
20.0585616616931,0.41,60.01
21.8801642943877,0.71,12.01
20.0585616616931,0.41,68.01
20.0585616616931,0.51,52.01
15.7144654990518,0.31,88.01
15.7144654990518,0.31,32.01
21.8801642943877,0.81,36.01
21.8801642943877,0.81,92.01
15.7144654990518,0.31,16.01
21.8801642943877,0.81,8.01
36.3972619198346,0.11,16.01
15.7144654990518,0.31,60.01
20.0585616616931,0.41,52.01
36.3972619198346,0.11,92.01
15.7144654990518,0.31,8.01
20.0585616616931,0.61,24.01
20.0585616616931,0.51,76.01
21.8801642943877,0.71,20.01
21.8801642943877,0.91,28.01
36.3972619198346,0.11,88.01
21.8801642943877,0.81,76.01
20.0585616616931,0.51,8.01
21.8801642943877,0.71,52.01
20.0585616616931,0.51,20.01
20.0585616616931,0.41,28.01
21.8801642943877,0.81,24.01
20.0585616616931,0.61,8.01
21.8801642943877,0.81,28.01
21.8801642943877,0.71,36.01
20.0585616616931,0.41,28.01
20.0585616616931,0.41,36.01
21.8801642943877,0.81,68.01
36.3972619198346,0.11,28.01
21.8801642943877,0.71,92.01
20.0585616616931,0.61,16.01
36.3972619198346,0.11,76.01
21.8801642943877,0.71,76.01
21.8801642943877,0.81,88.01
21.8801642943877,0.91,92.01
21.8801642943877,0.81,20.01
21.8801642943877,0.71,24.01
21.8801642943877,0.81,52.01
21.8801642943877,0.91,88.01
36.3972619198346,0.11,20.01
21.8801642943877,0.81,52.01
